"","date","store_nbr","family","sales","onpromotion"
"29","2013-01-01",1,"POULTRY",0,0
"62","2013-01-01",10,"POULTRY",0,0
"95","2013-01-01",11,"POULTRY",0,0
"128","2013-01-01",12,"POULTRY",0,0
"161","2013-01-01",13,"POULTRY",0,0
"194","2013-01-01",14,"POULTRY",0,0
"227","2013-01-01",15,"POULTRY",0,0
"260","2013-01-01",16,"POULTRY",0,0
"293","2013-01-01",17,"POULTRY",0,0
"326","2013-01-01",18,"POULTRY",0,0
"359","2013-01-01",19,"POULTRY",0,0
"392","2013-01-01",2,"POULTRY",0,0
"425","2013-01-01",20,"POULTRY",0,0
"458","2013-01-01",21,"POULTRY",0,0
"491","2013-01-01",22,"POULTRY",0,0
"524","2013-01-01",23,"POULTRY",0,0
"557","2013-01-01",24,"POULTRY",0,0
"590","2013-01-01",25,"POULTRY",42.637,0
"623","2013-01-01",26,"POULTRY",0,0
"656","2013-01-01",27,"POULTRY",0,0
"689","2013-01-01",28,"POULTRY",0,0
"722","2013-01-01",29,"POULTRY",0,0
"755","2013-01-01",3,"POULTRY",0,0
"788","2013-01-01",30,"POULTRY",0,0
"821","2013-01-01",31,"POULTRY",0,0
"854","2013-01-01",32,"POULTRY",0,0
"887","2013-01-01",33,"POULTRY",0,0
"920","2013-01-01",34,"POULTRY",0,0
"953","2013-01-01",35,"POULTRY",0,0
"986","2013-01-01",36,"POULTRY",0,0
"1019","2013-01-01",37,"POULTRY",0,0
"1052","2013-01-01",38,"POULTRY",0,0
"1085","2013-01-01",39,"POULTRY",0,0
"1118","2013-01-01",4,"POULTRY",0,0
"1151","2013-01-01",40,"POULTRY",0,0
"1184","2013-01-01",41,"POULTRY",0,0
"1217","2013-01-01",42,"POULTRY",0,0
"1250","2013-01-01",43,"POULTRY",0,0
"1283","2013-01-01",44,"POULTRY",0,0
"1316","2013-01-01",45,"POULTRY",0,0
"1349","2013-01-01",46,"POULTRY",0,0
"1382","2013-01-01",47,"POULTRY",0,0
"1415","2013-01-01",48,"POULTRY",0,0
"1448","2013-01-01",49,"POULTRY",0,0
"1481","2013-01-01",5,"POULTRY",0,0
"1514","2013-01-01",50,"POULTRY",0,0
"1547","2013-01-01",51,"POULTRY",0,0
"1580","2013-01-01",52,"POULTRY",0,0
"1613","2013-01-01",53,"POULTRY",0,0
"1646","2013-01-01",54,"POULTRY",0,0
"1679","2013-01-01",6,"POULTRY",0,0
"1712","2013-01-01",7,"POULTRY",0,0
"1745","2013-01-01",8,"POULTRY",0,0
"1778","2013-01-01",9,"POULTRY",0,0
"1811","2013-01-02",1,"POULTRY",247.297,0
"1844","2013-01-02",10,"POULTRY",146.784,0
"1877","2013-01-02",11,"POULTRY",548.031,0
"1910","2013-01-02",12,"POULTRY",103.168,0
"1943","2013-01-02",13,"POULTRY",102.38,0
"1976","2013-01-02",14,"POULTRY",98.178,0
"2009","2013-01-02",15,"POULTRY",0,0
"2042","2013-01-02",16,"POULTRY",117.988,0
"2075","2013-01-02",17,"POULTRY",223.623,0
"2108","2013-01-02",18,"POULTRY",173.817,0
"2141","2013-01-02",19,"POULTRY",59.947998,0
"2174","2013-01-02",2,"POULTRY",342.50598,0
"2207","2013-01-02",20,"POULTRY",0,0
"2240","2013-01-02",21,"POULTRY",0,0
"2273","2013-01-02",22,"POULTRY",0,0
"2306","2013-01-02",23,"POULTRY",342.012,0
"2339","2013-01-02",24,"POULTRY",169.439,0
"2372","2013-01-02",25,"POULTRY",115.302,0
"2405","2013-01-02",26,"POULTRY",256.761,0
"2438","2013-01-02",27,"POULTRY",279.86,0
"2471","2013-01-02",28,"POULTRY",155.425,0
"2504","2013-01-02",29,"POULTRY",0,0
"2537","2013-01-02",3,"POULTRY",681.348,0
"2570","2013-01-02",30,"POULTRY",74.799,0
"2603","2013-01-02",31,"POULTRY",91.735,0
"2636","2013-01-02",32,"POULTRY",45.983,0
"2669","2013-01-02",33,"POULTRY",2.906,0
"2702","2013-01-02",34,"POULTRY",0,0
"2735","2013-01-02",35,"POULTRY",5.301,0
"2768","2013-01-02",36,"POULTRY",0,0
"2801","2013-01-02",37,"POULTRY",248.552,0
"2834","2013-01-02",38,"POULTRY",137.539,0
"2867","2013-01-02",39,"POULTRY",148.59601,0
"2900","2013-01-02",4,"POULTRY",385.80698,0
"2933","2013-01-02",40,"POULTRY",11.446,0
"2966","2013-01-02",41,"POULTRY",105.501,0
"2999","2013-01-02",42,"POULTRY",0,0
"3032","2013-01-02",43,"POULTRY",66.161,0
"3065","2013-01-02",44,"POULTRY",1034.765,0
"3098","2013-01-02",45,"POULTRY",727.80597,0
"3131","2013-01-02",46,"POULTRY",1198.384,0
"3164","2013-01-02",47,"POULTRY",1041.043,0
"3197","2013-01-02",48,"POULTRY",1014.5,0
"3230","2013-01-02",49,"POULTRY",411.833,0
"3263","2013-01-02",5,"POULTRY",311.913,0
"3296","2013-01-02",50,"POULTRY",343.188,0
"3329","2013-01-02",51,"POULTRY",469.826,0
"3362","2013-01-02",52,"POULTRY",0,0
"3395","2013-01-02",53,"POULTRY",0,0
"3428","2013-01-02",54,"POULTRY",15.514,0
"3461","2013-01-02",6,"POULTRY",587.206,0
"3494","2013-01-02",7,"POULTRY",316.341,0
"3527","2013-01-02",8,"POULTRY",364.081,0
"3560","2013-01-02",9,"POULTRY",651.292,0
"3593","2013-01-03",1,"POULTRY",187.278,0
"3626","2013-01-03",10,"POULTRY",148.317,0
"3659","2013-01-03",11,"POULTRY",526.114,0
"3692","2013-01-03",12,"POULTRY",97.86,0
"3725","2013-01-03",13,"POULTRY",66.827995,0
"3758","2013-01-03",14,"POULTRY",79.743996,0
"3791","2013-01-03",15,"POULTRY",77.516,0
"3824","2013-01-03",16,"POULTRY",99.455,0
"3857","2013-01-03",17,"POULTRY",173.8,0
"3890","2013-01-03",18,"POULTRY",105.737,0
"3923","2013-01-03",19,"POULTRY",53.812,0
"3956","2013-01-03",2,"POULTRY",317.652,0
"3989","2013-01-03",20,"POULTRY",0,0
"4022","2013-01-03",21,"POULTRY",0,0
"4055","2013-01-03",22,"POULTRY",0,0
"4088","2013-01-03",23,"POULTRY",155.83899,0
"4121","2013-01-03",24,"POULTRY",313.255,0
"4154","2013-01-03",25,"POULTRY",81.645,0
"4187","2013-01-03",26,"POULTRY",138.064,0
"4220","2013-01-03",27,"POULTRY",134.271,0
"4253","2013-01-03",28,"POULTRY",117.267,0
"4286","2013-01-03",29,"POULTRY",0,0
"4319","2013-01-03",3,"POULTRY",566.789,0
"4352","2013-01-03",30,"POULTRY",106.57,0
"4385","2013-01-03",31,"POULTRY",22.118,0
"4418","2013-01-03",32,"POULTRY",61.399002,0
"4451","2013-01-03",33,"POULTRY",157.534,0
"4484","2013-01-03",34,"POULTRY",139.185,0
"4517","2013-01-03",35,"POULTRY",14.931,0
"4550","2013-01-03",36,"POULTRY",0,0
"4583","2013-01-03",37,"POULTRY",132.977,0
"4616","2013-01-03",38,"POULTRY",123.306,0
"4649","2013-01-03",39,"POULTRY",123.385,0
"4682","2013-01-03",4,"POULTRY",319.433,0
"4715","2013-01-03",40,"POULTRY",83.282,0
"4748","2013-01-03",41,"POULTRY",82.101,0
"4781","2013-01-03",42,"POULTRY",0,0
"4814","2013-01-03",43,"POULTRY",113.082,0
"4847","2013-01-03",44,"POULTRY",703.156,0
"4880","2013-01-03",45,"POULTRY",536.91797,0
"4913","2013-01-03",46,"POULTRY",704.825,0
"4946","2013-01-03",47,"POULTRY",658.645,0
"4979","2013-01-03",48,"POULTRY",636.00903,0
"5012","2013-01-03",49,"POULTRY",198.99,0
"5045","2013-01-03",5,"POULTRY",196.459,0
"5078","2013-01-03",50,"POULTRY",245.629,0
"5111","2013-01-03",51,"POULTRY",380.38,0
"5144","2013-01-03",52,"POULTRY",0,0
"5177","2013-01-03",53,"POULTRY",0,0
"5210","2013-01-03",54,"POULTRY",4.313,0
"5243","2013-01-03",6,"POULTRY",441.639,0
"5276","2013-01-03",7,"POULTRY",259.789,0
"5309","2013-01-03",8,"POULTRY",277.6,0
"5342","2013-01-03",9,"POULTRY",509.496,0
"5375","2013-01-04",1,"POULTRY",258.023,0
"5408","2013-01-04",10,"POULTRY",111.159,0
"5441","2013-01-04",11,"POULTRY",494.52502,0
"5474","2013-01-04",12,"POULTRY",67.665,0
"5507","2013-01-04",13,"POULTRY",88.665,0
"5540","2013-01-04",14,"POULTRY",45.112,0
"5573","2013-01-04",15,"POULTRY",37.284,0
"5606","2013-01-04",16,"POULTRY",63.365,0
"5639","2013-01-04",17,"POULTRY",110.008995,0
"5672","2013-01-04",18,"POULTRY",41.665,0
"5705","2013-01-04",19,"POULTRY",10.51,0
"5738","2013-01-04",2,"POULTRY",305.019,0
"5771","2013-01-04",20,"POULTRY",0,0
"5804","2013-01-04",21,"POULTRY",0,0
"5837","2013-01-04",22,"POULTRY",0,0
"5870","2013-01-04",23,"POULTRY",178.879,0
"5903","2013-01-04",24,"POULTRY",403.879,0
"5936","2013-01-04",25,"POULTRY",140.73,0
"5969","2013-01-04",26,"POULTRY",147.51,0
"6002","2013-01-04",27,"POULTRY",100.804,0
"6035","2013-01-04",28,"POULTRY",62.309998,0
"6068","2013-01-04",29,"POULTRY",0,0
"6101","2013-01-04",3,"POULTRY",708.721,0
"6134","2013-01-04",30,"POULTRY",28.050999,0
"6167","2013-01-04",31,"POULTRY",38.317,0
"6200","2013-01-04",32,"POULTRY",71.798996,0
"6233","2013-01-04",33,"POULTRY",80.577,0
"6266","2013-01-04",34,"POULTRY",96.031,0
"6299","2013-01-04",35,"POULTRY",22.94,0
"6332","2013-01-04",36,"POULTRY",0,0
"6365","2013-01-04",37,"POULTRY",138.403,0
"6398","2013-01-04",38,"POULTRY",117.752,0
"6431","2013-01-04",39,"POULTRY",85.044,0
"6464","2013-01-04",4,"POULTRY",302.945,0
"6497","2013-01-04",40,"POULTRY",50.507,0
"6530","2013-01-04",41,"POULTRY",86.754,0
"6563","2013-01-04",42,"POULTRY",0,0
"6596","2013-01-04",43,"POULTRY",81.419,0
"6629","2013-01-04",44,"POULTRY",702.713,0
"6662","2013-01-04",45,"POULTRY",706.95703,0
"6695","2013-01-04",46,"POULTRY",827.803,0
"6728","2013-01-04",47,"POULTRY",670.71497,0
"6761","2013-01-04",48,"POULTRY",660.216,0
"6794","2013-01-04",49,"POULTRY",263.772,0
"6827","2013-01-04",5,"POULTRY",167.29599,0
"6860","2013-01-04",50,"POULTRY",312.642,0
"6893","2013-01-04",51,"POULTRY",532.522,0
"6926","2013-01-04",52,"POULTRY",0,0
